active,passive,verb,bad,exclude,match
The butcher sliced the meat.,The meat was sliced by the butcher.,slice,,,True
The artist sliced the canvas.,The canvas was sliced by the artist.,slice,,,True
The tailor buttoned the jacket.,The jacket was buttoned by the tailor.,button,,,True
She buttoned the shirt.,The shirt was buttoned by her.,button,x,,False
He buttoned the coat.,The coat was buttoned by him.,button,x,,False
The child buttoned the pants.,The pants were buttoned by the child.,button,,,True
The soldier buttoned the uniform.,The uniform was buttoned by the soldier.,button,,,True
The seamstress buttoned the dress.,The dress was buttoned by the seamstress.,button,,,True
The woman buttoned the blouse.,The blouse was buttoned by the woman.,button,,,True
The designer buttoned the sweater.,The sweater was buttoned by the designer.,button,,,True
The grandmother buttoned the cardigan.,The cardigan was buttoned by the grandmother.,button,,,True
The artisan laced the shoes.,The shoes were laced by the artisan.,lace,,,True
The girl laced the ribbon.,The ribbon was laced by the girl.,lace,,,True
The tailor laced the corset.,The corset was laced by the tailor.,lace,,,True
The athlete laced the sneakers.,The sneakers were laced by the athlete.,lace,,,True
The child laced the beads.,The beads were laced by the child.,lace,,,True
The designer laced the fabric.,The fabric was laced by the designer.,lace,,,True
The musician laced the guitar strings.,The guitar strings were laced by the musician.,lace,,,True
The programmer laced the code.,The code was laced by the programmer.,lace,x,,True
The artist laced the canvas.,The canvas was laced by the artist.,lace,,,True
The woman locked the door.,The door was locked by the woman.,lock,,,True
A thief locked the car.,The car was locked by a thief.,lock,x,,True
The manager locked the office.,The office was locked by the manager.,lock,,,True
The gardener locked the shed.,The shed was locked by the gardener.,lock,,,True
The teacher locked the classroom.,The classroom was locked by the teacher.,lock,,,True
The child locked the toy box.,The toy box was locked by the child.,lock,,,True
The detective locked the evidence.,The evidence was locked by the detective.,lock,x,,True
The technician locked the cabinet.,The cabinet was locked by the technician.,lock,,,True
The artist locked the studio.,The studio was locked by the artist.,lock,,,True
The artist sealed the envelope.  ,The envelope was sealed by the artist.,seal,,,True
The workers sealed the containers.  ,The containers were sealed by the workers.,seal,,,True
The chef sealed the dish.  ,The dish was sealed by the chef.,seal,,,True
The contractor sealed the windows.  ,The windows were sealed by the contractor.,seal,,,True
The team sealed the victory.  ,The victory was sealed by the team.,seal,?,,True
The technician sealed the wires.  ,The wires were sealed by the technician.,seal,,,True
The diver sealed the access point.  ,The access point was sealed by the diver.,seal,,,True
The company sealed the deal.  ,The deal was sealed by the company.,seal,,,True
The scientist sealed the samples.  ,The samples were sealed by the scientist.,seal,,,True
The teacher stapled the papers.,The papers were stapled by the teacher.,staple,,,True
A student stapled the assignment.,The assignment was stapled by a student.,staple,,,True
The assistant stapled the documents.,The documents were stapled by the assistant.,staple,,,True
The clerk stapled the receipts.,The receipts were stapled by the clerk.,staple,,,True
The manager stapled the reports.,The reports were stapled by the manager.,staple,,,True
An employee stapled the brochures.,The brochures were stapled by an employee.,staple,,,True
The librarian stapled the pages.,The pages were stapled by the librarian.,staple,,,True
The reporter stapled the articles.,The articles were stapled by the reporter.,staple,,,True
The volunteer stapled the flyers.,The flyers were stapled by the volunteer.,staple,,,True
The teacher tied the shoelaces.  ,The shoelaces were tied by the teacher.,tie,,,True
The gardener tied the vines.  ,The vines were tied by the gardener.,tie,,,True
The athlete tied the ribbon.  ,The ribbon was tied by the athlete.,tie,,,True
The child tied the belt.  ,The belt was tied by the child.,tie,,,True
The sailor tied the rope.  ,The rope was tied by the sailor.,tie,,,True
The artist tied the canvas.  ,The canvas was tied by the artist.,tie,,,True
The coach tied the swimmer's cap.  ,The swimmer's cap was tied by the coach.,tie,,,True
The mechanic tied the wires.  ,The wires were tied by the mechanic.,tie,,,True
The performer tied the scarf.  ,The scarf was tied by the performer.,tie,,,True
The child zipped the jacket.,The jacket was zipped by the child.,zip,,,True
The tailor zipped the dress.,The dress was zipped by the tailor.,zip,,,True
The traveler zipped the suitcase.,The suitcase was zipped by the traveler.,zip,,,True
A student zipped the backpack.,The backpack was zipped by a student.,zip,,,True
The mechanic zipped the cover.,The cover was zipped by the mechanic.,zip,,,True
The woman zipped the pants.,The pants were zipped by the woman.,zip,,,True
The hiker zipped the tent bag.,The tent bag was zipped by the hiker.,zip,,,True
The artist zipped the portfolio.,The portfolio was zipped by the artist.,zip,,,True
The photographer zipped the camera case.,The camera case was zipped by the photographer.,zip,,,True
The teacher divided the class.,The class was divided by the teacher.,divide,,,True
The chef divided the cake.,The cake was divided by the chef.,divide,,,True
The committee divided the funds.,The funds were divided by the committee.,divide,,,True
The team divided the tasks.,The tasks were divided by the team.,divide,,,True
The manager divided the responsibilities.,The responsibilities were divided by the manager.,divide,,,True
The scientist divided the data.,The data was divided by the scientist.,divide,,,True
The children divided the toys.,The toys were divided by the children.,divide,,,True
The artist divided the canvas.,The canvas was divided by the artist.,divide,,,True
The siblings divided the inheritance.,The inheritance was divided by the siblings.,divide,,,True
The locksmith unbolted the door.,The door was unbolted by the locksmith.,unbolt,,,True
She unbolted the gate.,The gate was unbolted by her.,unbolt,x,,False
The worker unbolted the machine.,The machine was unbolted by the worker.,unbolt,,,True
The thief unbolted the window.,The window was unbolted by the thief.,unbolt,,,True
The team unbolted the equipment.,The equipment was unbolted by the team.,unbolt,,,True
The technician unbolted the panel.,The panel was unbolted by the technician.,unbolt,,,True
He unbolted the lock.,The lock was unbolted by him.,unbolt,x,,False
The police officer unbolted the handcuffs.,The handcuffs were unbolted by the police officer.,unbolt,,,True
The carpenter unbolted the frame.,The frame was unbolted by the carpenter.,unbolt,,,True
The locksmith unlocked the door.,The door was unlocked by the locksmith.,unlock,,,True
She unlocked the cabinet.,The cabinet was unlocked by her.,unlock,x,,False
The manager unlocked the safe.,The safe was unlocked by the manager.,unlock,,,True
A student unlocked the classroom.,The classroom was unlocked by a student.,unlock,,,True
The technician unlocked the computer.,The computer was unlocked by the technician.,unlock,,,True
The waiter unlocked the wine cellar.,The wine cellar was unlocked by the waiter.,unlock,,,True
The child unlocked the treasure chest.,The treasure chest was unlocked by the child.,unlock,,,True
The custom agent unlocked the suitcase.,The suitcase was unlocked by the custom agent.,unlock,,,True
The artist unlocked the gallery.,The gallery was unlocked by the artist.,unlock,,,True
The girl unzipped her jacket.,The jacket was unzipped by the girl.,unzip,,,False
The boy unzipped the backpack.,The backpack was unzipped by the boy.,unzip,,,True
The scientist unzipped the folder.,The folder was unzipped by the scientist.,unzip,,,True
The teacher unzipped the case.,The case was unzipped by the teacher.,unzip,,,True
The hiker unzipped the tent.,The tent was unzipped by the hiker.,unzip,,,True
The artist unzipped the portfolio.,The portfolio was unzipped by the artist.,unzip,,,True
The student unzipped the laptop.,The laptop was unzipped by the student.,unzip,,,True
The child unzipped the suitcase.,The suitcase was unzipped by the child.,unzip,,,True
The performer unzipped the costume.,The costume was unzipped by the performer.,unzip,,,True
The artist painted a mural.,The mural was painted by the artist.,paint,,,False
The child painted the fence.,The fence was painted by the child.,paint,,,True
The woman painted a portrait.,The portrait was painted by the woman.,paint,,,False
A student painted the canvas.,The canvas was painted by a student.,paint,,,True
The team painted the house.,The house was painted by the team.,paint,,,True
The painter painted the scene.,The scene was painted by the painter.,paint,,,True
