active,passive,verb
The artist found inspiration.,The inspiration was found by the artist.,find
The archaeologist found ancient pottery.,The ancient pottery was found by the archaeologist.,find
The scientist found a cure.,The cure was found by the scientist.,find
The child grabbed the toy.,The toy was grabbed by the child.,grab
The athlete grabbed the trophy.,The trophy was grabbed by the athlete.,grab
She grabbed the jacket.,The jacket was grabbed by her.,grab
The waiter grabbed the plates.,The plates were grabbed by the waiter.,grab
The artist grabbed the brush.,The brush was grabbed by the artist.,grab
The dog grabbed the ball.,The ball was grabbed by the dog.,grab
He grabbed a snack.,The snack was grabbed by him.,grab
The thief grabbed the purse.,The purse was grabbed by the thief.,grab
The student grabbed the book.,The book was grabbed by the student.,grab
The teacher held a book.,The book was held by the teacher.,hold
A child held a toy.,The toy was held by a child.,hold
The artist held a brush.,The brush was held by the artist.,hold
The gardener held the flowers.,The flowers were held by the gardener.,hold
The captain held the trophy.,The trophy was held by the captain.,hold
The scientist held an experiment.,The experiment was held by the scientist.,hold
The mother held her baby.,The baby was held by the mother.,hold
The athlete held the record.,The record was held by the athlete.,hold
The group held a meeting.,The meeting was held by the group.,hold
The cat hid the toy.  ,The toy was hidden by the cat.,hide
A child hid the candy.  ,The candy was hidden by a child.,hide
The dog hid the bone.  ,The bone was hidden by the dog.,hide
The thief hid the valuables.  ,The valuables were hidden by the thief.,hide
Sarah hid the letter.  ,The letter was hidden by Sarah.,hide
The magician hid the cards.  ,The cards were hidden by the magician.,hide
A soldier hid the weapon.  ,The weapon was hidden by a soldier.,hide
The artist hid the painting.  ,The painting was hidden by the artist.,hide
The librarian hid the book.  ,The book was hidden by the librarian.,hide
The child threw the ball.,The ball was thrown by the child.,throw
A player threw a frisbee.,The frisbee was thrown by a player.,throw
The coach threw a challenge flag.,The challenge flag was thrown by the coach.,throw
The girl threw the paper.,The paper was thrown by the girl.,throw
The teacher threw the book.,The book was thrown by the teacher.,throw
He threw the candy.,The candy was thrown by him.,throw
The athlete threw the discus.,The discus was thrown by the athlete.,throw
She threw the rock.,The rock was thrown by her.,throw
The toddler threw the toy.,The toy was thrown by the toddler.,throw
The boy hit the baseball.,The baseball was hit by the boy.,hit
The coach hit the ball.,The ball was hit by the coach.,hit
A dog hit the fence.,The fence was hit by a dog.,hit
The athlete hit the target.,The target was hit by the athlete.,hit
The teacher hit the desk.,The desk was hit by the teacher.,hit
The child hit the piñata.,The piñata was hit by the child.,hit
A player hit the goal.,The goal was hit by a player.,hit
The artist hit the canvas.,The canvas was hit by the artist.,hit
The musician hit the note.,The note was hit by the musician.,hit
The player kicked the ball.,The ball was kicked by the player.,kick
The child kicked the toy.,The toy was kicked by the child.,kick
The athlete kicked the fluently.,The flu was kicked by the athlete.,kick
The horse kicked the fence.,The fence was kicked by the horse.,kick
The coach kicked the chair.,The chair was kicked by the coach.,kick
The woman kicked the door.,The door was kicked by the woman.,kick
The team kicked the winning goal.,The winning goal was kicked by the team.,kick
The dog kicked the blanket.,The blanket was kicked by the dog.,kick
The soldier kicked the bucket.,The bucket was kicked by the soldier.,kick
The boy knocked the door.,The door was knocked by the boy.,knock
A woman knocked the table.,The table was knocked by a woman.,knock
The teacher knocked the chalkboard.,The chalkboard was knocked by the teacher.,knock
John knocked the vase.,The vase was knocked by John.,knock
The child knocked the book off the shelf.,The book was knocked off the shelf by the child.,knock
Someone knocked the window.,The window was knocked by someone.,knock
The athlete knocked the ball.,The ball was knocked by the athlete.,knock
The carpenter knocked the nail.,The nail was knocked by the carpenter.,knock
The neighbor knocked the fence.,The fence was knocked by the neighbor.,knock
The teacher slapped the desk.,The desk was slapped by the teacher.,slap
The boxer slapped the opponent.,The opponent was slapped by the boxer.,slap
The child slapped the mosquito.,The mosquito was slapped by the child.,slap
The student slapped the book.,The book was slapped by the student.,slap
The mother slapped the pillow.,The pillow was slapped by the mother.,slap
The coach slapped the playbook.,The playbook was slapped by the coach.,slap
The dog slapped the ground.,The ground was slapped by the dog.,slap
The comedian slapped the stage.,The stage was slapped by the comedian.,slap
The actor slapped the script.,The script was slapped by the actor.,slap
The teacher tapped the desk.  ,The desk was tapped by the teacher.,tap
The musician tapped the drum.  ,The drum was tapped by the musician.,tap
A child tapped the window.  ,The window was tapped by a child.,tap
The coach tapped the player's shoulder.  ,The player's shoulder was tapped by the coach.,tap
The artist tapped the canvas.  ,The canvas was tapped by the artist.,tap
The employee tapped the keys.  ,The keys were tapped by the employee.,tap
A student tapped the screen.  ,The screen was tapped by a student.,tap
The scientist tapped the flask.  ,The flask was tapped by the scientist.,tap
The dancer tapped the floor.  ,The floor was tapped by the dancer.,tap
The drummer thumped the bass drum.,The bass drum was thumped by the drummer.,thump
A child thumped the table.,The table was thumped by a child.,thump
She thumped the pillow.,The pillow was thumped by her.,thump
The contractor thumped the nails.,The nails were thumped by the contractor.,thump
The player thumped the ball.,The ball was thumped by the player.,thump
A cat thumped the ground.,The ground was thumped by a cat.,thump
He thumped the guitar.,The guitar was thumped by him.,thump
The teacher thumped the desk.,The desk was thumped by the teacher.,thump
The crowd thumped the bleachers.,The bleachers were thumped by the crowd.,thump
The child whacked the piñata.,The piñata was whacked by the child.,whack
The gardener whacked the weeds.,The weeds were whacked by the gardener.,whack
The player whacked the ball.,The ball was whacked by the player.,whack
A teacher whacked the desk.,The desk was whacked by a teacher.,whack
The chef whacked the garlic.,The garlic was whacked by the chef.,whack
The kid whacked the drum.,The drum was whacked by the kid.,whack
The athlete whacked the target.,The target was whacked by the athlete.,whack
The boy whacked the tree.,The tree was whacked by the boy.,whack
The woman whacked the meat.,The meat was whacked by the woman.,whack
